National Transportation Safety Board
Investigation Number:,DCA11MA076
Accident Date:,04/02/11
Aircraft Type:,Gulfstream G650
Aircraft Tail Number:,N652GD
Data Recorders Factual Report - Attachment 3 - Tabular Data - Flight 132 Run 3B2 - (CSV Format)
Time is in seconds past midnight Coordinated Universal Time (UTC)
DATA
Time,Accel Lat-FT,Accel Long-FT,Accel Vert-FT,Aileron-L FCC1,Aileron-R FCC1,Airspeed Cal-ADS1,Altitude DPGS,Altitude Radio-1 ASCB,AOA Norm-FCC1,AOA Norm-FCC2,AOA-ADS1,AOA-ADS2,AOA-ADS3 ASCB,AOA-ADS4 ASCB,AOS-ADS1,AOS-ADS2,AOS-ADS3 ASCB,AOS-ADS4 ASCB,Ctrl Col Force-L,Ctrl Col Force-R,Ctrl Col Pos-L FCC1,Ctrl Col Pos-R FCC1,Ctrl Whl Force-L FCC1,Ctrl Whl Force-R FCC1,Ctrl Whl Pos-L FCC1,Ctrl Whl Pos-R FCC1,Elevator-L FCC1,Elevator-R FCC1,Eng1 EPR-LA,Eng1 Fuel Flow-LA,Eng1 N1-LA,Eng1 N2-LA,Eng1 Thrust Gross-LA,Eng1 Thrust Net-LA,Eng1 TRA-LA,Eng2 EPR-RA,Eng2 Fuel Flow-RA,Eng2 N1-RA,Eng2 N2-RA,Eng2 Thrust Gross-RA,Eng2 Thrust Net-RA,Eng2 TRA-RA,Flap FCC2,Gear WOW-L LGCU1,Gear WOW-N LGCU1,Gear WOW-R LGCU1,Heading Mag-IRS1,Heading Mag-IRS3 ASCB,Pitch Rate-IRS1,Pitch-IRS1,Pitch-IRS2,Roll Rate-IRS1,Roll-IRS1,Roll-IRS3 ASCB,Rudder Ped Force-L FCC1,Rudder Ped Force-R FCC1,Rudder Ped Pos-FCC1,Rudder Ped Pos-FCC2,Rudder-FCC1,Spoiler-LIB FCC1,Spoiler-LMB FCC1,Spoiler-LOB FCC1,Spoiler-RIB FCC1,Spoiler-RMB FCC1,Spoiler-ROB FCC1,Stab-HSCU1,Yaw Rate Body-IRS1
(UTC),(g),(g),(g),(deg),(deg),(kt),(ft),(ft),(),(),(deg),(deg),(deg),(deg),(deg),(deg),(deg),(deg),(lbf),(lbf),(deg),(deg),(lbf),(lbf),(deg),(deg),(deg),(deg),(),(pph),(%RPM),(%RPM),(lbf),(lbf),(deg),(),(pph),(%RPM),(%RPM),(lbf),(lbf),(deg),(deg),(),(),(),(deg),(deg),(deg/sec),(deg),(deg),(deg/sec),(deg),(deg),(lbf),(lbf),(in),(in),(deg),(deg),(deg),(deg),(deg),(deg),(deg),(deg),(deg/sec)
,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,"%N(0:0=""*"",1:1=""Gear Compressed"")","%N(0:0=""*"",1:1=""Gear Compressed"")","%N(0:0=""*"",1:1=""Gear Compressed"")",NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER
48770.8,-0.024,-0.025,1.007,-0.03,0.03,0,3679.04,-2.4,0.19,0.19,0,0,0,0,0,0,0,0,0.77,1.55,0.05,0.02,-0.07,-0.17,0.13,0.13,-2.18,-1.98,1.54,5134.5,90.07,92.4,-291230023,-291230023,32.17,1.53,5140.5,91.71,92.68,-291275616.6,-291272074.5,31.73,20,1,1,1,36.98,36.98,-0.01,-1.72,-1.74,0,0.73,0.69,3.28,-1.25,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.04,0.06,-6.21,0
48770.9,-0.024,-0.025,1.007,-0.03,0.02,0,3679.02,-2.4,0.19,0.19,0,0,0,0,0,0,0,0,0.73,1.55,0.05,0.02,-0.07,-0.09,0.1,0.09,-2.18,-1.98,1.54,5134.5,90.04,92.38,13853.87,13853.87,32.17,1.53,5131.5,91.72,92.69,-291251775.3,-291248868.4,31.73,20,1,1,1,36.98,36.98,0,-1.72,-1.74,-0.01,0.73,0.69,3.63,-1.25,0.03,0.03,0.04,0.02,0.02,0.03,0.02,0.06,0.03,-6.21,-0.01
48771,-0.025,-0.026,1.007,-0.03,0.02,0,3679.03,-2.4,0.19,0.19,0,0,0,0,0,0,0,0,0.58,1.65,0.05,0.02,0.01,-0.13,0.14,0.08,-2.18,-1.99,1.54,5146.5,90.02,92.35,-291249238.9,-291249238.9,32.17,1.53,5131.5,91.72,92.67,-291249239.8,-291246333,31.73,20,1,1,1,36.98,36.98,0,-1.72,-1.74,0.01,0.73,0.69,3.13,-1.45,0.02,0.03,0.04,0.03,0.02,0.02,0,0.07,0.04,-6.21,-0.02
48771.1,-0.022,-0.026,1.007,-0.03,0.03,0,3679.03,-2.2,0.19,0.19,0,0,0,0,0,0,0,0,0.64,1.46,0.05,0.02,-0.07,-0.15,0.14,0.16,-2.17,-1.99,1.54,5146.5,90,92.33,-291246704.3,-291246704.3,32.17,1.53,5116.5,91.71,92.65,-291246706.4,-291241349.1,31.73,20,1,1,1,36.98,36.98,0,-1.72,-1.74,0,0.73,0.69,2.84,-1.3,0.02,0.03,0.04,0.03,0.03,0.02,0.03,0.06,0.07,-6.21,-0.02
48771.2,-0.024,-0.026,1.009,-0.03,0.02,0,3679.03,-2.6,0.19,0.19,0,0,0,0,0,0,0,0,0.58,1.65,0.05,0.02,-0.09,-0.2,0.13,0.1,-2.18,-1.99,1.54,5159,89.95,92.3,-291249238.8,-291249238.8,32.17,1.53,5116.5,91.71,92.65,-291243878,-291243874.4,31.73,20,1,1,1,36.97,36.98,0,-1.72,-1.74,0.01,0.73,0.69,3.34,-1.3,0.02,0.03,0.04,0.02,0,0.03,0,0.06,0.03,-6.21,-0.01
48771.3,-0.025,-0.025,1.007,-0.03,0.02,0,3679.02,-2.4,0.19,0.19,0,0,0,0,0,0,0,0,0.64,1.59,0.05,0.02,-0.09,-0.2,0.1,0.13,-2.18,-1.98,1.54,5159,89.91,92.27,-291241634.6,-291241634.6,32.17,1.53,5110,91.72,92.65,-291222867,-291218115.9,31.73,20,1,1,1,36.97,36.98,0,-1.71,-1.74,0.04,0.73,0.69,3.09,-1.3,0.02,0.03,0.04,0.03,0.03,0,0.02,0.06,0.07,-6.21,0
48771.4,-0.023,-0.025,1.007,-0.02,0.03,0,3679.04,-2.4,0.19,0.19,0,0,0,0,0,0,0,0,0.7,1.65,0.05,0.02,0.01,-0.15,0.15,0.11,-2.18,-1.98,1.54,5172,89.88,92.22,-291249090.6,-291249090.6,32.17,1.53,5110,91.71,92.64,-291259820.5,-291259816.9,31.73,20,1,1,1,36.97,36.98,0,-1.71,-1.74,0,0.73,0.69,2.98,-1.45,0.02,0.03,0.04,0.02,0.03,0.03,0.03,0.04,0.07,-6.21,0
48771.5,-0.026,-0.025,1.007,-0.03,0.03,0,3679.03,-2.2,0.19,0.19,0,0,0,0,0,0,0,0,0.67,1.55,0.05,0.02,-0.02,-0.15,0.09,0.11,-2.18,-1.99,1.53,5172,89.85,92.2,-291237625.2,-291237625.2,32.17,1.53,5103.5,91.73,92.66,-291264448.7,-291259040.3,31.73,20,1,1,1,36.97,36.98,0,-1.72,-1.74,0.04,0.73,0.69,2.64,-1.25,0.03,0.03,0.03,0.03,0.02,0.02,0,0.07,0.03,-6.21,0
